avg_loss_pct,avg_win_pct,consistency_score,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,note,profitable_months,return_pct,risk_per_trade_pct,time_stop_minutes,total_months,trade_count,win_rate
11.897,18.541,0.0,6079.55,5.0,94.377,0.8,,3,-87.841,1,5,13,2839,0.3927
11.945,19.186,0.0,16917.13,5.0,85.011,0.85,,5,-66.166,1,5,13,1899,0.3902
12.249,20.362,0.0,91159.74,5.0,75.053,0.9,,6,82.319,1,5,13,1458,0.4012
12.286,21.544,0.0,273528.73,5.0,75.726,0.95,,7,447.057,1,5,13,1100,0.4073
12.748,23.893,0.0,574817.82,5.0,68.722,1.0,,8,1049.636,1,5,13,800,0.4138
10.666,15.867,0.0,2228.68,5.0,98.825,0.8,,2,-95.543,2,5,7,1436,0.3955
11.812,19.952,0.0,2227.89,5.0,98.998,0.85,,3,-95.544,2,5,9,1189,0.381
12.249,20.362,0.0,8996.71,5.0,97.679,0.9,,6,-82.007,2,5,13,1458,0.4012
12.286,21.544,0.0,133159.21,5.0,96.618,0.95,,6,166.318,2,5,13,1100,0.4073
12.748,23.893,0.0,835053.24,5.0,92.887,1.0,,7,1570.106,2,5,13,800,0.4138
10.287,14.769,0.0,1363.48,5.0,99.503,0.8,,0,-97.273,3,5,4,724,0.4033
10.557,16.72,0.0,1459.29,5.0,99.629,0.85,,2,-97.081,3,5,7,959,0.3889
12.147,21.573,0.0,1312.02,5.0,99.761,0.9,,4,-97.376,3,5,9,913,0.391
12.286,21.544,0.0,9109.85,5.0,99.725,0.95,,5,-81.78,3,5,13,1100,0.4073
12.748,23.893,0.0,173151.61,5.0,99.105,1.0,,6,246.303,3,5,13,800,0.4138
10.462,14.697,0.0,1112.26,5.0,99.669,0.8,,0,-97.775,4,5,3,478,0.4121
10.26,15.463,0.0527,1051.1,5.0,99.83,0.85,,1,-97.898,4,5,4,511,0.4012
10.539,15.231,0.0,1104.13,5.0,99.889,0.9,,1,-97.792,4,5,4,397,0.4055
12.272,23.553,0.0,984.16,5.0,99.809,0.95,,3,-98.032,4,5,9,683,0.3924
12.748,23.893,0.0,6331.55,5.0,99.934,1.0,,5,-87.337,4,5,13,800,0.4138
10.301,15.506,0.0,816.95,5.0,99.755,0.8,,0,-98.366,5,5,2,344,0.4128
10.494,15.876,0.0,888.09,5.0,99.899,0.85,,0,-98.224,5,5,3,302,0.4139
10.315,15.243,0.0,872.86,5.0,99.947,0.9,,0,-98.254,5,5,3,297,0.4175
11.08,22.774,0.0,299.3,5.0,99.96,0.95,,2,-99.401,5,5,7,564,0.4025
11.433,25.61,0.0,107.68,5.0,99.989,1.0,,3,-99.785,5,5,7,401,0.414
10.301,15.506,0.0,816.95,5.0,99.755,0.8,,0,-98.366,6,5,2,344,0.4128
10.494,15.876,0.0,888.09,5.0,99.899,0.85,,0,-98.224,6,5,3,302,0.4139
10.315,15.243,0.0,872.86,5.0,99.947,0.9,,0,-98.254,6,5,3,297,0.4175
