hard_sl_pct,min_confidence,month,pnl,return_pct,risk_per_trade_pct,time_stop_minutes,trades,win_rate
5.0,0.8,2025-09,10794.53,21.589,1,5,183,0.4536
5.0,0.8,2025-10,-2080.31,-4.161,1,5,215,0.4
5.0,0.8,2025-11,-23560.16,-47.12,1,5,242,0.3802
5.0,0.8,2025-12,-1796.29,-3.593,1,5,261,0.4023
5.0,0.8,2026-01,-9618.53,-19.237,1,5,235,0.3489
5.0,0.8,2026-02,780.15,1.56,1,5,248,0.4194
5.0,0.8,2026-03,-2101.84,-4.204,1,5,220,0.3364
5.0,0.8,2026-04,-11367.3,-22.735,1,5,170,0.3706
5.0,0.8,2026-05,-746.02,-1.492,1,5,242,0.3884
5.0,0.8,2026-06,-1323.26,-2.647,1,5,244,0.418
5.0,0.8,2026-07,-992.77,-1.986,1,5,259,0.4131
5.0,0.8,2026-08,605.59,1.211,1,5,265,0.4075
5.0,0.8,2026-09,-2514.22,-5.028,1,5,55,0.2727
5.0,0.85,2025-09,21106.58,42.213,1,5,126,0.4603
5.0,0.85,2025-10,4169.02,8.338,1,5,146,0.4041
5.0,0.85,2025-11,-29160.07,-58.32,1,5,149,0.3624
5.0,0.85,2025-12,25826.33,51.653,1,5,172,0.4186
5.0,0.85,2026-01,-33894.26,-67.789,1,5,156,0.3013
5.0,0.85,2026-02,1408.31,2.817,1,5,174,0.408
5.0,0.85,2026-03,24799.95,49.6,1,5,142,0.3451
5.0,0.85,2026-04,-27518.14,-55.036,1,5,115,0.3739
5.0,0.85,2026-05,-3695.21,-7.39,1,5,139,0.3885
5.0,0.85,2026-06,-1707.3,-3.415,1,5,171,0.4152
5.0,0.85,2026-07,-1749.56,-3.499,1,5,177,0.4124
5.0,0.85,2026-08,-5144.21,-10.288,1,5,195,0.4103
5.0,0.85,2026-09,-7524.3,-15.049,1,5,37,0.2703
5.0,0.9,2025-09,32641.35,65.283,1,5,101,0.5149
5.0,0.9,2025-10,-11047.84,-22.096,1,5,106,0.3585
5.0,0.9,2025-11,-27204.45,-54.409,1,5,115,0.3739
5.0,0.9,2025-12,9888.9,19.778,1,5,144,0.4167
5.0,0.9,2026-01,-6241.72,-12.483,1,5,115,0.2957
5.0,0.9,2026-02,30589.39,61.179,1,5,132,0.4621
5.0,0.9,2026-03,110615.14,221.23,1,5,111,0.3604
5.0,0.9,2026-04,-89194.35,-178.389,1,5,87,0.3333
5.0,0.9,2026-05,-17941.35,-35.883,1,5,104,0.3654
5.0,0.9,2026-06,-7826.17,-15.652,1,5,130,0.4077
5.0,0.9,2026-07,22599.15,45.198,1,5,137,0.438
5.0,0.9,2026-08,23771.21,47.542,1,5,149,0.4631
5.0,0.9,2026-09,-29489.51,-58.979,1,5,27,0.2963
5.0,0.95,2025-09,19974.94,39.95,1,5,78,0.5
5.0,0.95,2025-10,-636.56,-1.273,1,5,76,0.3421
5.0,0.95,2025-11,-8522.85,-17.046,1,5,85,0.4
5.0,0.95,2025-12,43046.33,86.093,1,5,106,0.4245
5.0,0.95,2026-01,1881.34,3.763,1,5,82,0.3171
5.0,0.95,2026-02,74953.2,149.906,1,5,95,0.4842
5.0,0.95,2026-03,224244.83,448.49,1,5,89,0.3258
5.0,0.95,2026-04,-178547.25,-357.095,1,5,67,0.3433
5.0,0.95,2026-05,-51034.46,-102.069,1,5,79,0.3797
5.0,0.95,2026-06,21039.11,42.078,1,5,96,0.3854
5.0,0.95,2026-07,148766.63,297.533,1,5,102,0.5
5.0,0.95,2026-08,-23583.0,-47.166,1,5,125,0.44
5.0,0.95,2026-09,-48053.51,-96.107,1,5,20,0.35
5.0,1.0,2025-09,25670.4,51.341,1,5,51,0.4902
5.0,1.0,2025-10,14566.91,29.134,1,5,55,0.4182
5.0,1.0,2025-11,1996.05,3.992,1,5,65,0.4154
5.0,1.0,2025-12,45805.99,91.612,1,5,79,0.443
5.0,1.0,2026-01,-13048.09,-26.096,1,5,59,0.2712
5.0,1.0,2026-02,106502.29,213.005,1,5,63,0.5079
5.0,1.0,2026-03,358714.39,717.429,1,5,63,0.3333
5.0,1.0,2026-04,-219136.05,-438.272,1,5,48,0.3333
5.0,1.0,2026-05,-82386.68,-164.773,1,5,57,0.386
5.0,1.0,2026-06,40934.25,81.868,1,5,74,0.3919
