avg_loss_pct,avg_win_pct,consistency_score,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,note,profitable_months,return_pct,risk_per_trade_pct,time_stop_minutes,total_months,trade_count,win_rate
12.151,19.327,0.0,12027.28,5.0,94.377,0.8,,3,-75.945,1,5,9,1960,0.3898
12.124,20.458,0.0,33457.25,5.0,83.253,0.85,,5,-33.085,1,5,9,1285,0.3852
12.459,21.958,0.0,88794.61,5.0,75.053,0.9,,4,77.589,1,5,9,988,0.3917
12.611,23.608,0.0,187251.28,5.0,75.726,0.95,,5,274.503,1,5,9,736,0.3967
13.203,26.364,0.0,291601.85,5.0,68.722,1.0,,6,483.204,1,5,9,525,0.4038
10.666,15.867,0.0,2228.68,5.0,98.825,0.8,,2,-95.543,2,5,7,1436,0.3955
11.812,19.952,0.0,2227.89,5.0,98.998,0.85,,3,-95.544,2,5,9,1189,0.381
12.459,21.958,0.0,17409.31,5.0,96.972,0.9,,4,-65.181,2,5,9,988,0.3917
12.611,23.608,0.0,106742.53,5.0,96.385,0.95,,4,113.485,2,5,9,736,0.3967
13.203,26.364,0.0,348153.54,5.0,92.887,1.0,,5,596.307,2,5,9,525,0.4038
10.287,14.769,0.0,1363.48,5.0,99.503,0.8,,0,-97.273,3,5,4,724,0.4033
10.557,16.72,0.0,1459.29,5.0,99.629,0.85,,2,-97.081,3,5,7,959,0.3889
12.147,21.573,0.0,1312.02,5.0,99.761,0.9,,4,-97.376,3,5,9,913,0.391
12.611,23.608,0.0,12391.1,5.0,99.629,0.95,,4,-75.218,3,5,9,736,0.3967
13.203,26.364,0.0,94732.89,5.0,99.105,1.0,,5,89.466,3,5,9,525,0.4038
10.462,14.697,0.0,1112.26,5.0,99.669,0.8,,0,-97.775,4,5,3,478,0.4121
10.26,15.463,0.0527,1051.1,5.0,99.83,0.85,,1,-97.898,4,5,4,511,0.4012
10.539,15.231,0.0,1104.13,5.0,99.889,0.9,,1,-97.792,4,5,4,397,0.4055
12.272,23.553,0.0,984.16,5.0,99.809,0.95,,3,-98.032,4,5,9,683,0.3924
13.203,26.364,0.0,5663.75,5.0,99.926,1.0,,4,-88.672,4,5,9,525,0.4038
10.301,15.506,0.0,816.95,5.0,99.755,0.8,,0,-98.366,5,5,2,344,0.4128
10.494,15.876,0.0,888.09,5.0,99.899,0.85,,0,-98.224,5,5,3,302,0.4139
10.315,15.243,0.0,872.86,5.0,99.947,0.9,,0,-98.254,5,5,3,297,0.4175
11.08,22.774,0.0,299.3,5.0,99.96,0.95,,2,-99.401,5,5,7,564,0.4025
11.433,25.61,0.0,107.68,5.0,99.989,1.0,,3,-99.785,5,5,7,401,0.414
10.301,15.506,0.0,816.95,5.0,99.755,0.8,,0,-98.366,6,5,2,344,0.4128
10.494,15.876,0.0,888.09,5.0,99.899,0.85,,0,-98.224,6,5,3,302,0.4139
10.315,15.243,0.0,872.86,5.0,99.947,0.9,,0,-98.254,6,5,3,297,0.4175
11.08,22.774,0.0,299.3,5.0,99.96,0.95,,2,-99.401,6,5,7,564,0.4025
11.433,25.61,0.0,107.68,5.0,99.989,1.0,,3,-99.785,6,5,7,401,0.414
10.301,15.506,0.0,816.95,5.0,99.755,0.8,,0,-98.366,7,5,2,344,0.4128
10.494,15.876,0.0,888.09,5.0,99.899,0.85,,0,-98.224,7,5,3,302,0.4139
10.315,15.243,0.0,872.86,5.0,99.947,0.9,,0,-98.254,7,5,3,297,0.4175
11.08,22.774,0.0,299.3,5.0,99.96,0.95,,2,-99.401,7,5,7,564,0.4025
11.433,25.61,0.0,107.68,5.0,99.989,1.0,,3,-99.785,7,5,7,401,0.414
10.301,15.506,0.0,816.95,5.0,99.755,0.8,,0,-98.366,8,5,2,344,0.4128
10.494,15.876,0.0,888.09,5.0,99.899,0.85,,0,-98.224,8,5,3,302,0.4139
10.315,15.243,0.0,872.86,5.0,99.947,0.9,,0,-98.254,8,5,3,297,0.4175
11.08,22.774,0.0,299.3,5.0,99.96,0.95,,2,-99.401,8,5,7,564,0.4025
11.433,25.61,0.0,107.68,5.0,99.989,1.0,,3,-99.785,8,5,7,401,0.414
10.301,15.506,0.0,816.95,5.0,99.755,0.8,,0,-98.366,9,5,2,344,0.4128
10.494,15.876,0.0,888.09,5.0,99.899,0.85,,0,-98.224,9,5,3,302,0.4139
10.315,15.243,0.0,872.86,5.0,99.947,0.9,,0,-98.254,9,5,3,297,0.4175
11.08,22.774,0.0,299.3,5.0,99.96,0.95,,2,-99.401,9,5,7,564,0.4025
11.433,25.61,0.0,107.68,5.0,99.989,1.0,,3,-99.785,9,5,7,401,0.414
