avg_loss_pct,avg_win_pct,consistency_score,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,note,profitable_months,return_pct,risk_per_trade_pct,time_stop_minutes,total_months,trade_count,win_rate
8.043,10.604,0.0,11885.0,5.0,85.152,0.8,,2,-76.23,1,5,8,1710,0.414
7.867,11.415,0.0,41927.6,5.0,72.03,0.85,,8,-16.145,1,5,13,1758,0.4135
8.048,11.351,0.0,23619.8,5.0,72.536,0.9,,5,-52.76,1,5,13,1322,0.4153
8.013,12.079,0.0,83130.3,5.0,47.347,0.95,,8,66.261,1,5,13,944,0.428
8.36,12.27,0.0,85679.0,5.0,40.366,1.0,,7,71.358,1,5,13,702,0.4416
7.071,8.764,0.0,5897.2,5.0,95.282,0.8,,1,-88.206,2,5,5,877,0.4116
7.906,11.013,0.0,5606.0,5.0,93.903,0.85,,2,-88.788,2,5,8,1108,0.4016
8.063,11.26,0.0,4777.9,5.0,94.32,0.9,,3,-90.444,2,5,8,830,0.3988
8.013,12.079,0.0,63928.6,5.0,78.104,0.95,,8,27.857,2,5,13,944,0.428
8.36,12.27,0.0,78793.8,5.0,66.662,1.0,,6,57.588,2,5,13,702,0.4416
7.165,9.168,0.0,3763.6,5.0,97.891,0.8,,1,-92.473,3,5,4,769,0.4161
7.109,9.34,0.0,3934.4,5.0,96.687,0.85,,1,-92.131,3,5,4,511,0.3855
7.004,8.998,0.0,3883.3,5.0,96.231,0.9,,1,-92.233,3,5,5,431,0.3805
8.013,12.079,0.0,27843.6,5.0,90.272,0.95,,7,-44.313,3,5,13,944,0.428
8.36,12.27,0.0,37358.0,5.0,84.608,1.0,,6,-25.284,3,5,13,702,0.4416
7.253,9.042,0.0,2939.7,5.0,98.779,0.8,,1,-94.121,4,5,3,522,0.4195
7.121,8.862,0.0,2976.8,5.0,97.959,0.85,,1,-94.046,4,5,3,340,0.3882
7.131,9.578,0.0,2922.2,5.0,97.623,0.9,,1,-94.156,4,5,4,360,0.3778
8.177,12.786,0.0,2756.3,5.0,96.761,0.95,,2,-94.487,4,5,9,602,0.4053
8.36,12.27,0.0,10583.0,5.0,95.751,1.0,,5,-78.834,4,5,13,702,0.4416
7.277,8.728,0.0,2114.4,5.0,99.314,0.8,,1,-95.771,5,5,3,422,0.4336
7.225,9.158,0.0,2390.2,5.0,98.617,0.85,,1,-95.22,5,5,3,292,0.3973
