avg_loss_pct,avg_win_pct,consistency_score,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,note,profitable_months,return_pct,risk_per_trade_pct,time_stop_minutes,total_months,trade_count,win_rate
8.043,10.604,0.0,11885.0,5.0,85.152,0.8,,2,-76.23,1,5,8,1710,0.414
7.956,11.216,0.0,26890.9,5.0,72.03,0.85,,5,-46.218,1,5,9,1236,0.407
8.121,11.374,0.0,23932.7,5.0,72.536,0.9,,3,-52.135,1,5,9,922,0.4067
8.198,12.856,0.0,59580.2,5.0,47.347,0.95,,5,19.16,1,5,9,647,0.4127
8.65,13.077,0.0,62625.9,5.0,40.366,1.0,,5,25.252,1,5,9,472,0.428
7.071,8.764,0.0,5897.2,5.0,95.282,0.8,,1,-88.206,2,5,5,877,0.4116
7.906,11.013,0.0,5606.0,5.0,93.903,0.85,,2,-88.788,2,5,8,1108,0.4016
8.063,11.26,0.0,4777.9,5.0,94.32,0.9,,3,-90.444,2,5,8,830,0.3988
8.198,12.856,0.0,37474.9,5.0,78.104,0.95,,5,-25.05,2,5,9,647,0.4127
8.65,13.077,0.0,45170.0,5.0,66.662,1.0,,4,-9.66,2,5,9,472,0.428
7.165,9.168,0.0,3763.6,5.0,97.891,0.8,,1,-92.473,3,5,4,769,0.4161
7.109,9.34,0.0,3934.4,5.0,96.687,0.85,,1,-92.131,3,5,4,511,0.3855
7.004,8.998,0.0,3883.3,5.0,96.231,0.9,,1,-92.233,3,5,5,431,0.3805
8.198,12.856,0.0,15891.8,5.0,90.272,0.95,,5,-68.216,3,5,9,647,0.4127
8.65,13.077,0.0,19386.9,5.0,84.608,1.0,,4,-61.226,3,5,9,472,0.428
7.253,9.042,0.0,2939.7,5.0,98.779,0.8,,1,-94.121,4,5,3,522,0.4195
7.121,8.862,0.0,2976.8,5.0,97.959,0.85,,1,-94.046,4,5,3,340,0.3882
7.131,9.578,0.0,2922.2,5.0,97.623,0.9,,1,-94.156,4,5,4,360,0.3778
8.177,12.786,0.0,2756.3,5.0,96.761,0.95,,2,-94.487,4,5,9,602,0.4053
8.65,13.077,0.0,6580.4,5.0,95.751,1.0,,3,-86.839,4,5,9,472,0.428
7.277,8.728,0.0,2114.4,5.0,99.314,0.8,,1,-95.771,5,5,3,422,0.4336
7.225,9.158,0.0,2390.2,5.0,98.617,0.85,,1,-95.22,5,5,3,292,0.3973
7.211,8.997,0.0,2227.1,5.0,98.45,0.9,,1,-95.546,5,5,3,233,0.3777
7.325,9.929,0.0,2221.5,5.0,97.661,0.95,,0,-95.557,5,5,4,291,0.3849
8.346,12.821,0.0317,1956.9,5.0,98.057,1.0,,1,-96.086,5,5,7,360,0.4333
7.277,8.728,0.0,2114.4,5.0,99.314,0.8,,1,-95.771,6,5,3,422,0.4336
7.225,9.158,0.0,2390.2,5.0,98.617,0.85,,1,-95.22,6,5,3,292,0.3973
7.211,8.997,0.0,2227.1,5.0,98.45,0.9,,1,-95.546,6,5,3,233,0.3777
7.325,9.929,0.0,2221.5,5.0,97.661,0.95,,0,-95.557,6,5,4,291,0.3849
8.346,12.821,0.0317,1956.9,5.0,98.057,1.0,,1,-96.086,6,5,7,360,0.4333
7.277,8.728,0.0,2114.4,5.0,99.314,0.8,,1,-95.771,7,5,3,422,0.4336
7.225,9.158,0.0,2390.2,5.0,98.617,0.85,,1,-95.22,7,5,3,292,0.3973
7.211,8.997,0.0,2227.1,5.0,98.45,0.9,,1,-95.546,7,5,3,233,0.3777
7.325,9.929,0.0,2221.5,5.0,97.661,0.95,,0,-95.557,7,5,4,291,0.3849
8.346,12.821,0.0317,1956.9,5.0,98.057,1.0,,1,-96.086,7,5,7,360,0.4333
7.277,8.728,0.0,2114.4,5.0,99.314,0.8,,1,-95.771,8,5,3,422,0.4336
7.225,9.158,0.0,2390.2,5.0,98.617,0.85,,1,-95.22,8,5,3,292,0.3973
7.211,8.997,0.0,2227.1,5.0,98.45,0.9,,1,-95.546,8,5,3,233,0.3777
7.325,9.929,0.0,2221.5,5.0,97.661,0.95,,0,-95.557,8,5,4,291,0.3849
8.346,12.821,0.0317,1956.9,5.0,98.057,1.0,,1,-96.086,8,5,7,360,0.4333
7.277,8.728,0.0,2114.4,5.0,99.314,0.8,,1,-95.771,9,5,3,422,0.4336
7.225,9.158,0.0,2390.2,5.0,98.617,0.85,,1,-95.22,9,5,3,292,0.3973
7.211,8.997,0.0,2227.1,5.0,98.45,0.9,,1,-95.546,9,5,3,233,0.3777
7.325,9.929,0.0,2221.5,5.0,97.661,0.95,,0,-95.557,9,5,4,291,0.3849
8.346,12.821,0.0317,1956.9,5.0,98.057,1.0,,1,-96.086,9,5,7,360,0.4333
7.277,8.728,0.0,2114.4,5.0,99.314,0.8,,1,-95.771,10,5,3,422,0.4336
7.225,9.158,0.0,2390.2,5.0,98.617,0.85,,1,-95.22,10,5,3,292,0.3973
7.211,8.997,0.0,2227.1,5.0,98.45,0.9,,1,-95.546,10,5,3,233,0.3777
7.325,9.929,0.0,2221.5,5.0,97.661,0.95,,0,-95.557,10,5,4,291,0.3849
8.346,12.821,0.0317,1956.9,5.0,98.057,1.0,,1,-96.086,10,5,7,360,0.4333
8.269,10.655,0.0,11799.6,5.0,84.089,0.8,,2,-76.401,1,10,9,1719,0.4206
8.191,11.273,0.0,21732.6,5.0,77.847,0.85,,3,-56.535,1,10,9,1234,0.4141
8.348,11.427,0.0,21647.2,5.0,75.132,0.9,,3,-56.706,1,10,9,922,0.4132
8.413,12.963,0.0,61342.8,5.0,51.395,0.95,,5,22.686,1,10,9,647,0.4173
8.813,13.053,0.0,56286.0,5.0,40.5,1.0,,5,12.572,1,10,9,472,0.4301
7.529,9.556,0.0,5987.5,5.0,94.657,0.8,,3,-88.025,2,10,7,1333,0.4209
7.957,10.61,0.0,5896.5,5.0,92.857,0.85,,2,-88.207,2,10,8,1012,0.4121
8.312,11.321,0.0,5692.1,5.0,92.635,0.9,,3,-88.616,2,10,8,830,0.406
8.413,12.963,0.0,42710.2,5.0,78.913,0.95,,4,-14.58,2,10,9,647,0.4173
8.813,13.053,0.0,44991.5,5.0,67.53,1.0,,4,-10.017,2,10,9,472,0.4301
7.374,9.255,0.0,3877.0,5.0,97.454,0.8,,1,-92.246,3,10,4,767,0.4211
7.38,9.601,0.0,3956.8,5.0,96.241,0.85,,1,-92.086,3,10,4,495,0.3879
7.232,9.253,0.0,3928.8,5.0,95.765,0.9,,1,-92.142,3,10,4,412,0.3811
8.413,12.963,0.0,16059.1,5.0,91.019,0.95,,4,-67.882,3,10,9,647,0.4173
8.813,13.053,0.0,18024.0,5.0,84.979,1.0,,4,-63.952,3,10,9,472,0.4301
7.503,9.06,0.0,2985.9,5.0,98.45,0.8,,1,-94.028,4,10,3,518,0.4266
7.461,8.943,0.0,2916.6,5.0,97.605,0.85,,1,-94.167,4,10,3,333,0.3994
7.38,8.707,0.0,2954.4,5.0,97.301,0.9,,1,-94.091,4,10,3,258,0.3798
7.465,9.604,0.0,2839.6,5.0,96.663,0.95,,0,-94.321,4,10,5,310,0.3806
8.813,13.053,0.0,6434.8,5.0,95.914,1.0,,2,-87.13,4,10,9,472,0.4301
7.499,8.696,0.0,2281.7,5.0,99.018,0.8,,1,-95.437,5,10,3,418,0.4402
7.475,9.113,0.0,2177.4,5.0,98.401,0.85,,1,-95.645,5,10,3,284,0.4049
7.447,9.01,0.0,2128.4,5.0,98.266,0.9,,1,-95.743,5,10,3,229,0.3843
7.592,10.187,0.0,2306.2,5.0,97.571,0.95,,0,-95.388,5,10,4,265,0.3849
8.561,12.792,0.0412,2003.1,5.0,98.012,1.0,,1,-95.994,5,10,7,360,0.4361
7.499,8.696,0.0,2281.7,5.0,99.018,0.8,,1,-95.437,6,10,3,418,0.4402
7.475,9.113,0.0,2177.4,5.0,98.401,0.85,,1,-95.645,6,10,3,284,0.4049
7.447,9.01,0.0,2128.4,5.0,98.266,0.9,,1,-95.743,6,10,3,229,0.3843
7.592,10.187,0.0,2306.2,5.0,97.571,0.95,,0,-95.388,6,10,4,265,0.3849
8.561,12.792,0.0412,2003.1,5.0,98.012,1.0,,1,-95.994,6,10,7,360,0.4361
7.499,8.696,0.0,2281.7,5.0,99.018,0.8,,1,-95.437,7,10,3,418,0.4402
7.475,9.113,0.0,2177.4,5.0,98.401,0.85,,1,-95.645,7,10,3,284,0.4049
7.447,9.01,0.0,2128.4,5.0,98.266,0.9,,1,-95.743,7,10,3,229,0.3843
7.592,10.187,0.0,2306.2,5.0,97.571,0.95,,0,-95.388,7,10,4,265,0.3849
8.561,12.792,0.0412,2003.1,5.0,98.012,1.0,,1,-95.994,7,10,7,360,0.4361
7.499,8.696,0.0,2281.7,5.0,99.018,0.8,,1,-95.437,8,10,3,418,0.4402
7.475,9.113,0.0,2177.4,5.0,98.401,0.85,,1,-95.645,8,10,3,284,0.4049
7.447,9.01,0.0,2128.4,5.0,98.266,0.9,,1,-95.743,8,10,3,229,0.3843
7.592,10.187,0.0,2306.2,5.0,97.571,0.95,,0,-95.388,8,10,4,265,0.3849
8.561,12.792,0.0412,2003.1,5.0,98.012,1.0,,1,-95.994,8,10,7,360,0.4361
7.499,8.696,0.0,2281.7,5.0,99.018,0.8,,1,-95.437,9,10,3,418,0.4402
7.475,9.113,0.0,2177.4,5.0,98.401,0.85,,1,-95.645,9,10,3,284,0.4049
7.447,9.01,0.0,2128.4,5.0,98.266,0.9,,1,-95.743,9,10,3,229,0.3843
7.592,10.187,0.0,2306.2,5.0,97.571,0.95,,0,-95.388,9,10,4,265,0.3849
8.561,12.792,0.0412,2003.1,5.0,98.012,1.0,,1,-95.994,9,10,7,360,0.4361
7.499,8.696,0.0,2281.7,5.0,99.018,0.8,,1,-95.437,10,10,3,418,0.4402
7.475,9.113,0.0,2177.4,5.0,98.401,0.85,,1,-95.645,10,10,3,284,0.4049
7.447,9.01,0.0,2128.4,5.0,98.266,0.9,,1,-95.743,10,10,3,229,0.3843
7.592,10.187,0.0,2306.2,5.0,97.571,0.95,,0,-95.388,10,10,4,265,0.3849
8.561,12.792,0.0412,2003.1,5.0,98.012,1.0,,1,-95.994,10,10,7,360,0.4361
8.269,10.655,0.0,11807.3,5.0,84.078,0.8,,2,-76.385,1,15,9,1719,0.4206
8.192,11.273,0.0,21799.1,5.0,77.746,0.85,,3,-56.402,1,15,9,1234,0.4141
8.348,11.427,0.0,21647.2,5.0,75.132,0.9,,3,-56.706,1,15,9,922,0.4132
8.413,12.963,0.0,61342.8,5.0,51.395,0.95,,5,22.686,1,15,9,647,0.4173
8.813,13.053,0.0,56286.0,5.0,40.5,1.0,,5,12.572,1,15,9,472,0.4301
7.53,9.556,0.0,5968.6,5.0,94.674,0.8,,3,-88.063,2,15,7,1333,0.4209
7.963,10.61,0.0,5999.4,5.0,92.733,0.85,,2,-88.001,2,15,8,1011,0.4125
8.312,11.321,0.0,5692.1,5.0,92.635,0.9,,3,-88.616,2,15,8,830,0.406
8.413,12.963,0.0,42710.2,5.0,78.913,0.95,,4,-14.58,2,15,9,647,0.4173
8.813,13.053,0.0,44991.5,5.0,67.53,1.0,,4,-10.017,2,15,9,472,0.4301
7.374,9.255,0.0,3877.0,5.0,97.454,0.8,,1,-92.246,3,15,4,767,0.4211
7.38,9.601,0.0,3956.8,5.0,96.241,0.85,,1,-92.086,3,15,4,495,0.3879
7.232,9.253,0.0,3928.8,5.0,95.765,0.9,,1,-92.142,3,15,4,412,0.3811
8.413,12.963,0.0,16059.1,5.0,91.019,0.95,,4,-67.882,3,15,9,647,0.4173
8.813,13.053,0.0,18024.0,5.0,84.979,1.0,,4,-63.952,3,15,9,472,0.4301
7.503,9.06,0.0,2985.9,5.0,98.45,0.8,,1,-94.028,4,15,3,518,0.4266
7.461,8.943,0.0,2916.6,5.0,97.605,0.85,,1,-94.167,4,15,3,333,0.3994
7.38,8.707,0.0,2954.4,5.0,97.301,0.9,,1,-94.091,4,15,3,258,0.3798
7.465,9.604,0.0,2839.6,5.0,96.663,0.95,,0,-94.321,4,15,5,310,0.3806
8.813,13.053,0.0,6434.8,5.0,95.914,1.0,,2,-87.13,4,15,9,472,0.4301
7.499,8.696,0.0,2281.7,5.0,99.018,0.8,,1,-95.437,5,15,3,418,0.4402
7.475,9.113,0.0,2177.4,5.0,98.401,0.85,,1,-95.645,5,15,3,284,0.4049
7.447,9.01,0.0,2128.4,5.0,98.266,0.9,,1,-95.743,5,15,3,229,0.3843
7.592,10.187,0.0,2306.2,5.0,97.571,0.95,,0,-95.388,5,15,4,265,0.3849
8.561,12.792,0.0412,2003.1,5.0,98.012,1.0,,1,-95.994,5,15,7,360,0.4361
7.499,8.696,0.0,2281.7,5.0,99.018,0.8,,1,-95.437,6,15,3,418,0.4402
7.475,9.113,0.0,2177.4,5.0,98.401,0.85,,1,-95.645,6,15,3,284,0.4049
