hard_sl_pct,min_confidence,month,pnl,return_pct,risk_per_trade_pct,time_stop_minutes,trades,win_rate
5.0,0.8,2025-09,13426.7,26.853,1,5,179,0.4637
5.0,0.8,2025-10,-18729.2,-37.458,1,5,214,0.4206
5.0,0.8,2025-11,-11645.9,-23.292,1,5,233,0.3948
5.0,0.8,2025-12,-11810.4,-23.621,1,5,237,0.3797
5.0,0.8,2026-01,1260.7,2.521,1,5,196,0.4337
5.0,0.8,2026-02,-786.1,-1.572,1,5,241,0.4274
5.0,0.8,2026-03,-2349.2,-4.698,1,5,211,0.4171
5.0,0.8,2026-04,-7481.6,-14.963,1,5,199,0.3869
5.0,0.85,2025-09,8495.2,16.99,1,5,120,0.425
5.0,0.85,2025-10,-17035.2,-34.07,1,5,148,0.3919
5.0,0.85,2025-11,-10229.1,-20.458,1,5,131,0.3435
5.0,0.85,2025-12,-7431.2,-14.862,1,5,158,0.3797
5.0,0.85,2026-01,1668.1,3.336,1,5,135,0.4519
5.0,0.85,2026-02,2619.4,5.239,1,5,170,0.4529
5.0,0.85,2026-03,1106.7,2.213,1,5,138,0.3986
5.0,0.85,2026-04,-8285.9,-16.572,1,5,146,0.3493
5.0,0.85,2026-05,5982.9,11.966,1,5,90,0.5
5.0,0.9,2025-09,6279.0,12.558,1,5,93,0.4194
5.0,0.9,2025-10,-12905.9,-25.812,1,5,109,0.3945
5.0,0.9,2025-11,-10614.8,-21.23,1,5,99,0.3333
5.0,0.9,2025-12,-7373.8,-14.748,1,5,121,0.3636
5.0,0.9,2026-01,-1167.6,-2.335,1,5,97,0.4227
5.0,0.9,2026-02,5086.2,10.172,1,5,135,0.4815
5.0,0.9,2026-03,-355.6,-0.711,1,5,103,0.3981
5.0,0.9,2026-04,-9226.7,-18.453,1,5,96,0.3438
5.0,0.9,2026-05,4211.9,8.424,1,5,69,0.5217
5.0,0.95,2025-09,2413.6,4.827,1,5,64,0.3906
5.0,0.95,2025-10,-8610.0,-17.22,1,5,73,0.411
5.0,0.95,2025-11,-3813.6,-7.627,1,5,71,0.3803
5.0,0.95,2025-12,-6703.9,-13.408,1,5,86,0.3605
5.0,0.95,2026-01,3775.8,7.552,1,5,69,0.4348
5.0,0.95,2026-02,9270.1,18.54,1,5,100,0.5
5.0,0.95,2026-03,14056.0,28.112,1,5,74,0.4054
5.0,0.95,2026-04,-8990.8,-17.982,1,5,64,0.3281
5.0,0.95,2026-05,8183.0,16.366,1,5,46,0.5
5.0,1.0,2025-09,3278.8,6.558,1,5,51,0.3725
5.0,1.0,2025-10,134.4,0.269,1,5,54,0.4815
5.0,1.0,2025-11,-4501.7,-9.003,1,5,53,0.434
5.0,1.0,2025-12,-11375.7,-22.751,1,5,63,0.3651
5.0,1.0,2026-01,-503.3,-1.007,1,5,47,0.4043
5.0,1.0,2026-02,11238.5,22.477,1,5,70,0.5571
5.0,1.0,2026-03,17799.6,35.599,1,5,53,0.3585
5.0,1.0,2026-04,-8367.8,-16.736,1,5,50,0.34
5.0,1.0,2026-05,4923.1,9.846,1,5,31,0.5484
5.0,0.8,2025-09,26408.2,52.816,2,5,179,0.4637
5.0,0.8,2025-10,-44775.5,-89.551,2,5,214,0.4206
