avg_loss_pct,avg_win_pct,consistency_score,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,note,profitable_months,return_pct,risk_per_trade_pct,time_stop_minutes,total_months,trade_count,win_rate
7.169,9.331,0.0,13385.63,5.0,82.368,0.8,,3,-73.229,1,5,13,2491,0.4308
7.349,9.732,0.0,30750.44,5.0,65.284,0.85,,8,-38.499,1,5,13,1652,0.4298
7.316,9.92,0.0,38547.56,5.0,50.875,0.9,,6,-22.905,1,5,13,1270,0.4291
7.464,9.807,0.0,40033.31,5.0,51.968,0.95,,7,-19.933,1,5,13,955,0.4346
7.954,10.179,0.0,47133.94,5.0,45.878,1.0,,7,-5.732,1,5,13,677,0.4446
7.3,9.626,0.0,3558.94,5.0,96.199,0.8,,2,-92.882,2,5,9,1588,0.4219
7.349,9.732,0.0,5798.5,5.0,93.834,0.85,,6,-88.403,2,5,13,1652,0.4298
7.316,9.92,0.0,14024.38,5.0,86.403,0.9,,6,-71.951,2,5,13,1270,0.4291
7.464,9.807,0.0,18965.5,5.0,85.675,0.95,,6,-62.069,2,5,13,955,0.4346
7.954,10.179,0.0,24224.69,5.0,77.954,1.0,,5,-51.551,2,5,13,677,0.4446
6.576,8.106,0.0,2301.13,5.0,98.026,0.8,,1,-95.398,3,5,6,1069,0.421
7.385,9.898,0.0,2188.25,5.0,97.717,0.85,,3,-95.623,3,5,7,890,0.4191
7.597,10.462,0.0,2439.81,5.0,96.724,0.9,,2,-95.12,3,5,9,793,0.4136
7.464,9.807,0.0,3681.44,5.0,96.928,0.95,,5,-92.637,3,5,13,955,0.4346
7.954,10.179,0.0,7010.81,5.0,93.035,1.0,,5,-85.978,3,5,13,677,0.4446
6.576,8.111,0.0,1772.63,5.0,98.753,0.8,,1,-96.455,4,5,4,566,0.4064
7.196,9.903,0.0,1705.25,5.0,98.442,0.85,,2,-96.589,4,5,7,867,0.4198
6.979,10.105,0.0,1742.44,5.0,97.887,0.9,,2,-96.515,4,5,7,632,0.413
7.669,10.127,0.0,1786.63,5.0,98.601,0.95,,2,-96.427,4,5,8,591,0.4213
8.061,10.383,0.0,1597.19,5.0,98.311,1.0,,2,-96.806,4,5,8,413,0.4286
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,5,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,5,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,5,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,5,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,5,5,7,344,0.4128
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,6,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,6,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,6,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,6,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,6,5,7,344,0.4128
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,7,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,7,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,7,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,7,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,7,5,7,344,0.4128
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,8,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,8,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,8,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,8,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,8,5,7,344,0.4128
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,9,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,9,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,9,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,9,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,9,5,7,344,0.4128
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,10,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,10,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,10,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,10,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,10,5,7,344,0.4128
7.625,9.269,0.0,18766.44,5.0,74.759,0.8,,4,-62.467,1,10,13,2476,0.4467
7.809,9.608,0.0,25045.0,5.0,70.091,0.85,,6,-49.91,1,10,13,1647,0.4457
7.816,9.784,0.0,41996.81,5.0,51.246,0.9,,6,-16.006,1,10,13,1266,0.4487
7.987,9.666,0.0,45527.44,5.0,51.718,0.95,,6,-8.945,1,10,13,950,0.4558
8.329,9.981,0.0,48229.44,5.0,44.313,1.0,,7,-3.541,1,10,13,676,0.463
7.774,9.58,0.0,3735.25,5.0,95.609,0.8,,2,-92.53,2,10,9,1592,0.4397
7.809,9.608,0.0,6625.38,5.0,93.919,0.85,,6,-86.749,2,10,13,1647,0.4457
7.816,9.784,0.0,12721.06,5.0,86.784,0.9,,5,-74.558,2,10,13,1266,0.4487
7.987,9.666,0.0,20939.06,5.0,84.386,0.95,,4,-58.122,2,10,13,950,0.4558
8.329,9.981,0.0,31722.56,5.0,72.922,1.0,,6,-36.555,2,10,13,676,0.463
7.134,8.084,0.0,2279.69,5.0,97.807,0.8,,1,-95.441,3,10,6,1059,0.4438
7.893,9.734,0.0262,2445.06,5.0,97.257,0.85,,2,-95.11,3,10,7,899,0.4372
8.087,10.317,0.0,2444.63,5.0,96.802,0.9,,2,-95.111,3,10,9,812,0.4347
7.987,9.666,0.0,4040.63,5.0,97.017,0.95,,4,-91.919,3,10,13,950,0.4558
8.329,9.981,0.0,9841.88,5.0,92.875,1.0,,6,-80.316,3,10,13,676,0.463
7.115,8.294,0.0,1771.31,5.0,98.551,0.8,,0,-96.457,4,10,4,559,0.4275
7.721,9.757,0.004,1568.75,5.0,98.421,0.85,,1,-96.862,4,10,7,863,0.4403
7.778,10.024,0.0,1357.44,5.0,98.382,0.9,,2,-97.285,4,10,7,645,0.4372
8.274,9.983,0.0,1576.63,5.0,98.815,0.95,,2,-96.847,4,10,9,589,0.4465
8.542,10.086,0.0,1793.19,5.0,98.135,1.0,,2,-96.414,4,10,8,422,0.4502
7.347,7.729,0.0,1492.62,5.0,98.918,0.8,,0,-97.015,5,10,3,419,0.4487
7.118,8.29,0.0,1471.63,5.0,98.64,0.85,,0,-97.057,5,10,4,437,0.4256
7.516,9.923,0.0,201.13,5.0,99.782,0.9,,1,-99.598,5,10,7,628,0.4395
7.789,9.529,0.0,1370.56,5.0,99.136,0.95,,2,-97.259,5,10,7,486,0.4424
7.879,9.288,0.0,1360.06,5.0,98.769,1.0,,2,-97.28,5,10,7,343,0.4402
7.347,7.729,0.0,1492.62,5.0,98.918,0.8,,0,-97.015,6,10,3,419,0.4487
7.118,8.29,0.0,1471.63,5.0,98.64,0.85,,0,-97.057,6,10,4,437,0.4256
7.516,9.923,0.0,201.13,5.0,99.782,0.9,,1,-99.598,6,10,7,628,0.4395
7.789,9.529,0.0,1370.56,5.0,99.136,0.95,,2,-97.259,6,10,7,486,0.4424
7.879,9.288,0.0,1360.06,5.0,98.769,1.0,,2,-97.28,6,10,7,343,0.4402
7.347,7.729,0.0,1492.62,5.0,98.918,0.8,,0,-97.015,7,10,3,419,0.4487
7.118,8.29,0.0,1471.63,5.0,98.64,0.85,,0,-97.057,7,10,4,437,0.4256
7.516,9.923,0.0,201.13,5.0,99.782,0.9,,1,-99.598,7,10,7,628,0.4395
7.789,9.529,0.0,1370.56,5.0,99.136,0.95,,2,-97.259,7,10,7,486,0.4424
7.879,9.288,0.0,1360.06,5.0,98.769,1.0,,2,-97.28,7,10,7,343,0.4402
7.347,7.729,0.0,1492.62,5.0,98.918,0.8,,0,-97.015,8,10,3,419,0.4487
7.118,8.29,0.0,1471.63,5.0,98.64,0.85,,0,-97.057,8,10,4,437,0.4256
7.516,9.923,0.0,201.13,5.0,99.782,0.9,,1,-99.598,8,10,7,628,0.4395
7.789,9.529,0.0,1370.56,5.0,99.136,0.95,,2,-97.259,8,10,7,486,0.4424
7.879,9.288,0.0,1360.06,5.0,98.769,1.0,,2,-97.28,8,10,7,343,0.4402
7.347,7.729,0.0,1492.62,5.0,98.918,0.8,,0,-97.015,9,10,3,419,0.4487
7.118,8.29,0.0,1471.63,5.0,98.64,0.85,,0,-97.057,9,10,4,437,0.4256
7.516,9.923,0.0,201.13,5.0,99.782,0.9,,1,-99.598,9,10,7,628,0.4395
7.789,9.529,0.0,1370.56,5.0,99.136,0.95,,2,-97.259,9,10,7,486,0.4424
7.879,9.288,0.0,1360.06,5.0,98.769,1.0,,2,-97.28,9,10,7,343,0.4402
7.347,7.729,0.0,1492.62,5.0,98.918,0.8,,0,-97.015,10,10,3,419,0.4487
7.118,8.29,0.0,1471.63,5.0,98.64,0.85,,0,-97.057,10,10,4,437,0.4256
7.516,9.923,0.0,201.13,5.0,99.782,0.9,,1,-99.598,10,10,7,628,0.4395
7.789,9.529,0.0,1370.56,5.0,99.136,0.95,,2,-97.259,10,10,7,486,0.4424
7.879,9.288,0.0,1360.06,5.0,98.769,1.0,,2,-97.28,10,10,7,343,0.4402
7.763,9.322,0.0,12941.12,5.0,81.399,0.8,,3,-74.118,1,15,13,2476,0.4475
