avg_loss_pct,avg_win_pct,consistency_score,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,note,profitable_months,return_pct,risk_per_trade_pct,time_stop_minutes,total_months,trade_count,win_rate
7.367,9.905,0.0,18009.56,5.0,76.697,0.8,,3,-63.981,1,5,9,1736,0.4194
7.601,10.174,0.0,25402.0,5.0,62.62,0.85,,4,-49.196,1,5,9,1128,0.4184
7.584,10.529,0.024,31983.31,5.0,50.508,0.9,,3,-36.033,1,5,9,852,0.4143
7.72,10.216,0.0,35504.31,5.0,51.968,0.95,,4,-28.991,1,5,9,645,0.4217
8.142,10.472,0.0,38734.81,5.0,45.878,1.0,,4,-22.53,1,5,9,460,0.4304
7.3,9.626,0.0,3558.94,5.0,96.199,0.8,,2,-92.882,2,5,9,1588,0.4219
7.601,10.174,0.0,6592.13,5.0,92.344,0.85,,3,-86.816,2,5,9,1128,0.4184
7.584,10.529,0.0,11128.13,5.0,86.038,0.9,,3,-77.744,2,5,9,852,0.4143
7.72,10.216,0.0,14832.44,5.0,85.675,0.95,,2,-70.335,2,5,9,645,0.4217
8.142,10.472,0.0,19800.69,5.0,77.954,1.0,,3,-60.399,2,5,9,460,0.4304
6.576,8.106,0.0,2301.13,5.0,98.026,0.8,,1,-95.398,3,5,6,1069,0.421
7.385,9.898,0.0,2188.25,5.0,97.717,0.85,,3,-95.623,3,5,7,890,0.4191
7.597,10.462,0.0,2439.81,5.0,96.724,0.9,,2,-95.12,3,5,9,793,0.4136
7.72,10.216,0.0,4613.75,5.0,96.454,0.95,,3,-90.772,3,5,9,645,0.4217
8.142,10.472,0.0,7948.81,5.0,93.035,1.0,,3,-84.102,3,5,9,460,0.4304
6.576,8.111,0.0,1772.63,5.0,98.753,0.8,,1,-96.455,4,5,4,566,0.4064
7.196,9.903,0.0,1705.25,5.0,98.442,0.85,,2,-96.589,4,5,7,867,0.4198
6.979,10.105,0.0,1742.44,5.0,97.887,0.9,,2,-96.515,4,5,7,632,0.413
7.669,10.127,0.0,1786.63,5.0,98.601,0.95,,2,-96.427,4,5,8,591,0.4213
8.061,10.383,0.0,1597.19,5.0,98.311,1.0,,2,-96.806,4,5,8,413,0.4286
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,5,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,5,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,5,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,5,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,5,5,7,344,0.4128
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,6,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,6,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,6,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,6,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,6,5,7,344,0.4128
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,7,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,7,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,7,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,7,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,7,5,7,344,0.4128
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,8,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,8,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,8,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,8,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,8,5,7,344,0.4128
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,9,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,9,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,9,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,9,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,9,5,7,344,0.4128
6.691,7.451,0.0,1115.94,5.0,99.34,0.8,,0,-97.768,10,5,3,424,0.4245
6.587,8.218,0.0,1478.63,5.0,98.788,0.85,,1,-97.043,10,5,4,406,0.4039
6.541,8.563,0.0,1483.88,5.0,98.358,0.9,,1,-97.032,10,5,6,535,0.4131
7.184,9.673,0.0,1181.13,5.0,99.216,0.95,,2,-97.638,10,5,7,491,0.4114
7.391,9.517,0.0,1275.19,5.0,98.816,1.0,,2,-97.45,10,5,7,344,0.4128
