hard_sl_pct,min_confidence,month,pnl,return_pct,risk_per_trade_pct,time_stop_minutes,trades,win_rate
5.0,0.8,2025-09,4839.19,9.678,1,5,144,0.4931
5.0,0.8,2025-10,-20439.12,-40.878,1,5,199,0.3819
5.0,0.8,2025-11,-5975.38,-11.951,1,5,202,0.396
5.0,0.8,2025-12,-4755.19,-9.51,1,5,216,0.3935
5.0,0.8,2026-01,-75.69,-0.151,1,5,200,0.435
5.0,0.8,2026-02,6128.5,12.257,1,5,203,0.4828
5.0,0.8,2026-03,-5341.44,-10.683,1,5,216,0.3935
5.0,0.8,2026-04,-6829.81,-13.66,1,5,207,0.4251
5.0,0.8,2026-05,458.5,0.917,1,5,149,0.3893
5.0,0.85,2025-09,4766.56,9.533,1,5,108,0.4907
5.0,0.85,2025-10,-10523.19,-21.046,1,5,145,0.4069
5.0,0.85,2025-11,-8877.31,-17.755,1,5,118,0.3644
5.0,0.85,2025-12,-6198.5,-12.397,1,5,130,0.3692
5.0,0.85,2026-01,5773.69,11.547,1,5,132,0.4545
5.0,0.85,2026-02,2289.0,4.578,1,5,132,0.4773
5.0,0.85,2026-03,-9628.06,-19.256,1,5,139,0.3741
5.0,0.85,2026-04,679.44,1.359,1,5,134,0.4478
5.0,0.85,2026-05,-2879.63,-5.759,1,5,90,0.3778
5.0,0.9,2025-09,2880.06,5.76,1,5,81,0.4691
5.0,0.9,2025-10,-10766.44,-21.533,1,5,116,0.3793
5.0,0.9,2025-11,-4956.88,-9.914,1,5,94,0.3936
5.0,0.9,2025-12,-896.0,-1.792,1,5,93,0.3763
5.0,0.9,2026-01,3236.19,6.472,1,5,100,0.44
5.0,0.9,2026-02,-3680.69,-7.361,1,5,96,0.4583
5.0,0.9,2026-03,-3603.25,-7.207,1,5,105,0.3619
5.0,0.9,2026-04,1693.56,3.387,1,5,103,0.4563
5.0,0.9,2026-05,-1923.25,-3.847,1,5,64,0.4062
5.0,0.95,2025-09,8081.5,16.163,1,5,65,0.5077
5.0,0.95,2025-10,-8282.31,-16.565,1,5,85,0.3647
5.0,0.95,2025-11,-3992.63,-7.985,1,5,74,0.3919
5.0,0.95,2025-12,193.81,0.388,1,5,71,0.3944
5.0,0.95,2026-01,8090.25,16.18,1,5,74,0.4459
5.0,0.95,2026-02,-9732.62,-19.465,1,5,75,0.4267
5.0,0.95,2026-03,-7896.44,-15.793,1,5,72,0.3889
5.0,0.95,2026-04,-2126.25,-4.252,1,5,77,0.4545
5.0,0.95,2026-05,1169.0,2.338,1,5,52,0.4423
5.0,1.0,2025-09,4341.75,8.684,1,5,49,0.4898
5.0,1.0,2025-10,-8439.37,-16.879,1,5,62,0.3387
5.0,1.0,2025-11,-3236.19,-6.472,1,5,51,0.3725
5.0,1.0,2025-12,-380.62,-0.761,1,5,50,0.42
5.0,1.0,2026-01,10417.75,20.836,1,5,44,0.5227
5.0,1.0,2026-02,-7960.75,-15.922,1,5,57,0.4386
5.0,1.0,2026-03,-8837.06,-17.674,1,5,50,0.36
5.0,1.0,2026-04,396.37,0.793,1,5,61,0.4918
5.0,1.0,2026-05,2432.94,4.866,1,5,36,0.4722
5.0,0.8,2025-09,8134.88,16.27,2,5,144,0.4931
5.0,0.8,2025-10,-37276.31,-74.553,2,5,199,0.3819
5.0,0.8,2025-11,-7752.5,-15.505,2,5,202,0.396
5.0,0.8,2025-12,-3339.0,-6.678,2,5,216,0.3935
5.0,0.8,2026-01,-709.19,-1.418,2,5,200,0.435
5.0,0.8,2026-02,3766.87,7.534,2,5,203,0.4828
5.0,0.8,2026-03,-5909.75,-11.82,2,5,216,0.3935
5.0,0.8,2026-04,-3035.38,-6.071,2,5,207,0.4251
5.0,0.8,2026-05,-320.69,-0.641,2,5,1,0.0
5.0,0.85,2025-09,7276.06,14.552,2,5,108,0.4907
5.0,0.85,2025-10,-21855.31,-43.711,2,5,145,0.4069
5.0,0.85,2025-11,-13201.56,-26.403,2,5,118,0.3644
5.0,0.85,2025-12,-7486.94,-14.974,2,5,130,0.3692
5.0,0.85,2026-01,4222.75,8.446,2,5,132,0.4545
5.0,0.85,2026-02,533.75,1.067,2,5,132,0.4773
5.0,0.85,2026-03,-10610.69,-21.221,2,5,139,0.3741
5.0,0.85,2026-04,-927.06,-1.854,2,5,134,0.4478
5.0,0.85,2026-05,-1358.87,-2.718,2,5,90,0.3778
5.0,0.9,2025-09,4504.5,9.009,2,5,81,0.4691
5.0,0.9,2025-10,-22659.44,-45.319,2,5,116,0.3793
5.0,0.9,2025-11,-7254.63,-14.509,2,5,94,0.3936
