composite_score,full_avg_loss_pct,full_avg_win_pct,full_max_dd_pct,full_return_pct,full_trades,full_win_rate,hard_sl_pct,index_id,min_confidence,test_avg_loss_pct,test_avg_win_pct,test_max_dd_pct,test_return_pct,test_trades,test_win_rate,train_return_pct,train_trades,tsl_activation_pct,walk_forward
-0.0561,,,,,,,20,NIFTY50,0.5,8.78,,4.74,-4.74,6,0.0,-3.68,28,10,True
,14.12,15.93,14.8,-6.1,36,0.4167,20,NIFTY50,0.5,,,,,,,,,10,False
0.0931,,,,,,,20,BANKNIFTY,0.5,25.43,19.45,12.63,-3.79,26,0.5385,-20.97,85,10,True
,21.18,26.22,45.49,-28.19,118,0.3983,20,BANKNIFTY,0.5,,,,,,,,,10,False
0.0761,,,,,,,20,FINNIFTY,0.5,19.56,4.89,6.92,-5.03,9,0.5556,-12.54,41,10,True
,25.14,15.33,31.94,-24.35,56,0.4821,20,FINNIFTY,0.5,,,,,,,,,10,False
-0.0561,,,,,,,20,NIFTY50,0.6,8.78,,4.74,-4.74,6,0.0,-3.68,28,10,True
,14.12,15.93,14.8,-6.1,36,0.4167,20,NIFTY50,0.6,,,,,,,,,10,False
0.0931,,,,,,,20,BANKNIFTY,0.6,25.43,19.45,12.63,-3.79,26,0.5385,-20.97,85,10,True
,21.18,26.22,45.49,-28.19,118,0.3983,20,BANKNIFTY,0.6,,,,,,,,,10,False
0.0761,,,,,,,20,FINNIFTY,0.6,19.56,4.89,6.92,-5.03,9,0.5556,-12.54,41,10,True
,25.14,15.33,31.94,-24.35,56,0.4821,20,FINNIFTY,0.6,,,,,,,,,10,False
-0.0561,,,,,,,20,NIFTY50,0.65,8.78,,4.74,-4.74,6,0.0,-3.68,28,10,True
,14.12,15.93,14.8,-6.1,36,0.4167,20,NIFTY50,0.65,,,,,,,,,10,False
0.0931,,,,,,,20,BANKNIFTY,0.65,25.43,19.45,12.63,-3.79,26,0.5385,-20.97,85,10,True
,21.18,26.22,45.49,-28.19,118,0.3983,20,BANKNIFTY,0.65,,,,,,,,,10,False
0.0761,,,,,,,20,FINNIFTY,0.65,19.56,4.89,6.92,-5.03,9,0.5556,-12.54,41,10,True
,25.14,15.33,31.94,-24.35,56,0.4821,20,FINNIFTY,0.65,,,,,,,,,10,False
,,,,,,,20,NIFTY50,0.5,11.85,,4.27,-4.27,4,0.0,-7.96,25,12,True
,19.71,18.44,17.92,-10.37,32,0.4375,20,NIFTY50,0.5,,,,,,,,,12,False
0.0924,,,,,,,20,BANKNIFTY,0.5,27.45,19.18,12.21,-3.98,25,0.56,-3.42,79,12,True
,23.01,24.56,33.85,-12.54,111,0.4685,20,BANKNIFTY,0.5,,,,,,,,,12,False
0.3925,,,,,,,20,FINNIFTY,0.5,22.55,10.58,4.27,-0.39,9,0.6667,-14.3,42,12,True
,25.49,16.02,28.59,-20.78,56,0.5,20,FINNIFTY,0.5,,,,,,,,,12,False
,,,,,,,20,NIFTY50,0.6,11.85,,4.27,-4.27,4,0.0,-7.96,25,12,True
,19.71,18.44,17.92,-10.37,32,0.4375,20,NIFTY50,0.6,,,,,,,,,12,False
0.0924,,,,,,,20,BANKNIFTY,0.6,27.45,19.18,12.21,-3.98,25,0.56,-3.42,79,12,True
,23.01,24.56,33.85,-12.54,111,0.4685,20,BANKNIFTY,0.6,,,,,,,,,12,False
0.3925,,,,,,,20,FINNIFTY,0.6,22.55,10.58,4.27,-0.39,9,0.6667,-14.3,42,12,True
,25.49,16.02,28.59,-20.78,56,0.5,20,FINNIFTY,0.6,,,,,,,,,12,False
,,,,,,,20,NIFTY50,0.65,11.85,,4.27,-4.27,4,0.0,-7.96,25,12,True
,19.71,18.44,17.92,-10.37,32,0.4375,20,NIFTY50,0.65,,,,,,,,,12,False
0.0924,,,,,,,20,BANKNIFTY,0.65,27.45,19.18,12.21,-3.98,25,0.56,-3.42,79,12,True
,23.01,24.56,33.85,-12.54,111,0.4685,20,BANKNIFTY,0.65,,,,,,,,,12,False
0.3925,,,,,,,20,FINNIFTY,0.65,22.55,10.58,4.27,-0.39,9,0.6667,-14.3,42,12,True
,25.49,16.02,28.59,-20.78,56,0.5,20,FINNIFTY,0.65,,,,,,,,,12,False
,,,,,,,20,NIFTY50,0.5,25.82,13.24,3.46,-3.46,3,0.3333,-7.91,24,15,True
,23.25,20.29,17.13,-9.5,30,0.4667,20,NIFTY50,0.5,,,,,,,,,15,False
0.4439,,,,,,,20,BANKNIFTY,0.5,27.59,20.6,11.36,1.93,25,0.6,-6.23,75,15,True
,25.61,25.04,36.16,-10.19,107,0.4953,20,BANKNIFTY,0.5,,,,,,,,,15,False
0.3925,,,,,,,20,FINNIFTY,0.5,22.55,10.58,4.27,-0.39,9,0.6667,-16.42,42,15,True
,25.41,16.43,30.27,-22.91,56,0.4821,20,FINNIFTY,0.5,,,,,,,,,15,False
,,,,,,,20,NIFTY50,0.6,25.82,13.24,3.46,-3.46,3,0.3333,-7.91,24,15,True
,23.25,20.29,17.13,-9.5,30,0.4667,20,NIFTY50,0.6,,,,,,,,,15,False
0.4439,,,,,,,20,BANKNIFTY,0.6,27.59,20.6,11.36,1.93,25,0.6,-6.23,75,15,True
,25.61,25.04,36.16,-10.19,107,0.4953,20,BANKNIFTY,0.6,,,,,,,,,15,False
