avg_loss_pct,avg_win_pct,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,return_pct,risk_per_trade_pct,time_stop_minutes,trade_count,tsl_activation_pct,tsl_base_trail_pct,win_rate
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,1,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,1,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,1,5,347,5.0,3.0,0.3256
3.609,11.198,32981.3,0.5,95.137,0.75,-67.019,1,5,871,5.0,3.0,0.2732
3.6,11.638,94850.1,0.5,93.56,0.8,-5.15,1,5,701,5.0,3.0,0.2767
3.651,13.283,315857.6,0.5,84.894,0.85,215.858,1,5,449,5.0,3.0,0.2806
3.764,12.033,239161.4,0.5,76.007,0.9,139.161,1,5,347,5.0,3.0,0.2968
3.756,10.712,220836.8,0.5,68.632,0.95,120.837,1,5,259,5.0,3.0,0.3166
3.996,10.635,272022.2,0.5,60.126,1.0,172.022,1,5,200,5.0,3.0,0.34
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,2,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,2,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,2,5,347,5.0,3.0,0.3256
3.609,11.198,32981.3,0.5,95.137,0.75,-67.019,2,5,871,5.0,3.0,0.2732
3.6,11.638,94850.1,0.5,93.56,0.8,-5.15,2,5,701,5.0,3.0,0.2767
3.651,13.283,315857.6,0.5,84.894,0.85,215.858,2,5,449,5.0,3.0,0.2806
3.764,12.033,239161.4,0.5,76.007,0.9,139.161,2,5,347,5.0,3.0,0.2968
3.756,10.712,220836.8,0.5,68.632,0.95,120.837,2,5,259,5.0,3.0,0.3166
3.996,10.635,272022.2,0.5,60.126,1.0,172.022,2,5,200,5.0,3.0,0.34
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,3,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,3,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,3,5,347,5.0,3.0,0.3256
3.609,11.198,32981.3,0.5,95.137,0.75,-67.019,3,5,871,5.0,3.0,0.2732
3.6,11.638,94850.1,0.5,93.56,0.8,-5.15,3,5,701,5.0,3.0,0.2767
3.651,13.283,315857.6,0.5,84.894,0.85,215.858,3,5,449,5.0,3.0,0.2806
3.764,12.033,239161.4,0.5,76.007,0.9,139.161,3,5,347,5.0,3.0,0.2968
3.756,10.712,220836.8,0.5,68.632,0.95,120.837,3,5,259,5.0,3.0,0.3166
3.996,10.635,272022.2,0.5,60.126,1.0,172.022,3,5,200,5.0,3.0,0.34
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,4,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,4,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,4,5,347,5.0,3.0,0.3256
3.609,11.198,32981.3,0.5,95.137,0.75,-67.019,4,5,871,5.0,3.0,0.2732
3.6,11.638,94850.1,0.5,93.56,0.8,-5.15,4,5,701,5.0,3.0,0.2767
3.651,13.283,315857.6,0.5,84.894,0.85,215.858,4,5,449,5.0,3.0,0.2806
3.764,12.033,239161.4,0.5,76.007,0.9,139.161,4,5,347,5.0,3.0,0.2968
3.756,10.712,220836.8,0.5,68.632,0.95,120.837,4,5,259,5.0,3.0,0.3166
3.996,10.635,272022.2,0.5,60.126,1.0,172.022,4,5,200,5.0,3.0,0.34
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,5,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,5,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,5,5,347,5.0,3.0,0.3256
3.609,11.198,32981.3,0.5,95.137,0.75,-67.019,5,5,871,5.0,3.0,0.2732
3.6,11.638,94850.1,0.5,93.56,0.8,-5.15,5,5,701,5.0,3.0,0.2767
3.651,13.283,315857.6,0.5,84.894,0.85,215.858,5,5,449,5.0,3.0,0.2806
3.764,12.033,239161.4,0.5,76.007,0.9,139.161,5,5,347,5.0,3.0,0.2968
3.756,10.712,220836.8,0.5,68.632,0.95,120.837,5,5,259,5.0,3.0,0.3166
3.996,10.635,272022.2,0.5,60.126,1.0,172.022,5,5,200,5.0,3.0,0.34
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,6,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,6,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,6,5,347,5.0,3.0,0.3256
3.609,11.198,32981.3,0.5,95.137,0.75,-67.019,6,5,871,5.0,3.0,0.2732
3.6,11.638,94850.1,0.5,93.56,0.8,-5.15,6,5,701,5.0,3.0,0.2767
3.651,13.283,315857.6,0.5,84.894,0.85,215.858,6,5,449,5.0,3.0,0.2806
3.764,12.033,239161.4,0.5,76.007,0.9,139.161,6,5,347,5.0,3.0,0.2968
3.756,10.712,220836.8,0.5,68.632,0.95,120.837,6,5,259,5.0,3.0,0.3166
3.996,10.635,272022.2,0.5,60.126,1.0,172.022,6,5,200,5.0,3.0,0.34
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,7,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,7,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,7,5,347,5.0,3.0,0.3256
3.609,11.198,32981.3,0.5,95.137,0.75,-67.019,7,5,871,5.0,3.0,0.2732
3.6,11.638,94850.1,0.5,93.56,0.8,-5.15,7,5,701,5.0,3.0,0.2767
3.651,13.283,315857.6,0.5,84.894,0.85,215.858,7,5,449,5.0,3.0,0.2806
3.764,12.033,239161.4,0.5,76.007,0.9,139.161,7,5,347,5.0,3.0,0.2968
