avg_loss_pct,avg_win_pct,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,return_pct,risk_per_trade_pct,time_stop_minutes,trade_count,tsl_activation_pct,tsl_base_trail_pct,win_rate
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,1,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,1,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,1,5,347,5.0,3.0,0.3256
3.848,10.883,39147.6,0.5,95.137,0.75,-60.852,1,5,606,5.0,3.0,0.2888
3.786,11.16,69273.5,0.5,93.56,0.8,-30.726,1,5,486,5.0,3.0,0.2881
3.727,11.97,150488.2,0.5,84.894,0.85,50.488,1,5,308,5.0,3.0,0.2955
3.769,9.38,69816.7,0.5,76.007,0.9,-30.183,1,5,236,5.0,3.0,0.3051
3.732,8.236,81933.0,0.5,68.632,0.95,-18.067,1,5,168,5.0,3.0,0.3274
4.1,9.472,189413.1,0.5,43.932,1.0,89.413,1,5,125,5.0,3.0,0.368
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,2,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,2,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,2,5,347,5.0,3.0,0.3256
3.848,10.883,39147.6,0.5,95.137,0.75,-60.852,2,5,606,5.0,3.0,0.2888
3.786,11.16,69273.5,0.5,93.56,0.8,-30.726,2,5,486,5.0,3.0,0.2881
3.727,11.97,150488.2,0.5,84.894,0.85,50.488,2,5,308,5.0,3.0,0.2955
3.769,9.38,69816.7,0.5,76.007,0.9,-30.183,2,5,236,5.0,3.0,0.3051
3.732,8.236,81933.0,0.5,68.632,0.95,-18.067,2,5,168,5.0,3.0,0.3274
4.1,9.472,189413.1,0.5,43.932,1.0,89.413,2,5,125,5.0,3.0,0.368
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,3,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,3,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,3,5,347,5.0,3.0,0.3256
3.848,10.883,39147.6,0.5,95.137,0.75,-60.852,3,5,606,5.0,3.0,0.2888
3.786,11.16,69273.5,0.5,93.56,0.8,-30.726,3,5,486,5.0,3.0,0.2881
3.727,11.97,150488.2,0.5,84.894,0.85,50.488,3,5,308,5.0,3.0,0.2955
3.769,9.38,69816.7,0.5,76.007,0.9,-30.183,3,5,236,5.0,3.0,0.3051
3.732,8.236,81933.0,0.5,68.632,0.95,-18.067,3,5,168,5.0,3.0,0.3274
4.1,9.472,189413.1,0.5,43.932,1.0,89.413,3,5,125,5.0,3.0,0.368
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,4,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,4,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,4,5,347,5.0,3.0,0.3256
3.848,10.883,39147.6,0.5,95.137,0.75,-60.852,4,5,606,5.0,3.0,0.2888
3.786,11.16,69273.5,0.5,93.56,0.8,-30.726,4,5,486,5.0,3.0,0.2881
3.727,11.97,150488.2,0.5,84.894,0.85,50.488,4,5,308,5.0,3.0,0.2955
3.769,9.38,69816.7,0.5,76.007,0.9,-30.183,4,5,236,5.0,3.0,0.3051
3.732,8.236,81933.0,0.5,68.632,0.95,-18.067,4,5,168,5.0,3.0,0.3274
4.1,9.472,189413.1,0.5,43.932,1.0,89.413,4,5,125,5.0,3.0,0.368
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,5,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,5,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,5,5,347,5.0,3.0,0.3256
3.848,10.883,39147.6,0.5,95.137,0.75,-60.852,5,5,606,5.0,3.0,0.2888
3.786,11.16,69273.5,0.5,93.56,0.8,-30.726,5,5,486,5.0,3.0,0.2881
3.727,11.97,150488.2,0.5,84.894,0.85,50.488,5,5,308,5.0,3.0,0.2955
3.769,9.38,69816.7,0.5,76.007,0.9,-30.183,5,5,236,5.0,3.0,0.3051
3.732,8.236,81933.0,0.5,68.632,0.95,-18.067,5,5,168,5.0,3.0,0.3274
4.1,9.472,189413.1,0.5,43.932,1.0,89.413,5,5,125,5.0,3.0,0.368
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,6,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,6,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,6,5,347,5.0,3.0,0.3256
3.848,10.883,39147.6,0.5,95.137,0.75,-60.852,6,5,606,5.0,3.0,0.2888
3.786,11.16,69273.5,0.5,93.56,0.8,-30.726,6,5,486,5.0,3.0,0.2881
3.727,11.97,150488.2,0.5,84.894,0.85,50.488,6,5,308,5.0,3.0,0.2955
3.769,9.38,69816.7,0.5,76.007,0.9,-30.183,6,5,236,5.0,3.0,0.3051
3.732,8.236,81933.0,0.5,68.632,0.95,-18.067,6,5,168,5.0,3.0,0.3274
4.1,9.472,189413.1,0.5,43.932,1.0,89.413,6,5,125,5.0,3.0,0.368
4.41,9.163,471.9,0.5,99.549,0.6,-99.528,7,5,500,5.0,3.0,0.31
4.377,8.525,172.3,0.5,99.835,0.65,-99.828,7,5,425,5.0,3.0,0.32
4.616,8.96,2084.7,0.5,98.006,0.7,-97.915,7,5,347,5.0,3.0,0.3256
3.848,10.883,39147.6,0.5,95.137,0.75,-60.852,7,5,606,5.0,3.0,0.2888
3.786,11.16,69273.5,0.5,93.56,0.8,-30.726,7,5,486,5.0,3.0,0.2881
3.727,11.97,150488.2,0.5,84.894,0.85,50.488,7,5,308,5.0,3.0,0.2955
3.769,9.38,69816.7,0.5,76.007,0.9,-30.183,7,5,236,5.0,3.0,0.3051
